id_tempat_wisata,kabupaten,nama_tempat_wisata,rating,kategori,jumlah_ulasan,latitude,longitude,google_maps_link,,,,,,,,,,,,
10900,Sleman,Desa Wisata Pulesari,4.4,Wisata Budaya dan Sejarah,3008,-7.6258806,110.371698,https://www.google.com/maps/search/Desa%20Wisata%20Pulesari,,,,,,,,,,,,
4b030,Kota Yogyakarta,Desa Wisata Rumah Domes/Teletubbies,4.1,Wisata Buatan,1268,-7.8136085,110.5033442,https://www.google.com/maps/search/Desa%20Wisata%20Rumah%20Domes/Teletubbies,,,,,,,,,,,,
3a0a0,Kota Yogyakarta,Desa Wisata Sukunan,4.4,Wisata Alam,321,-7.7856902,110.3361579,https://www.google.com/maps/search/Desa%20Wisata%20Sukunan,,,,,,,,,,,,
0fd20,Sleman,Desa Wisata Tanjung,4.4,Wisata Alam,272,-7.704665,110.379933,https://www.google.com/maps/search/Desa%20Wisata%20Tanjung,,,,,,,,,,,,
abc80,Bantul,Desa Wisata Tapak Tilas Sultan Agung,5,Wisata Buatan,2,-7.92721,110.4121747,https://www.google.com/maps/search/Desa%20Wisata%20Tapak%20Tilas%20Sultan%20Agung,,,,,,,,,,,,
72020,Gunungkidul,Desa Wisata Tepus,4.6,Wisata Buatan,42,-8.1148402,110.6359781,https://www.google.com/maps/search/Desa%20Wisata%20Tepus,,,,,,,,,,,,
24900,Sleman,Desa Wisata Tinalah (Dewi Tinalah - Wisata Jogja),4.3,Wisata Budaya dan Sejarah,1135,-7.6955738,110.195883,https://www.google.com/maps/search/Desa%20Wisata%20Tinalah%20%28Dewi%20Tinalah%20-%20Wisata%20Jogja%29,,,,,,,,,,,,
bd010,Sleman,Desa Wisata Tlatar Kandangan,4.7,Wisata Buatan,112,-7.6107602,110.3788082,https://www.google.com/maps/search/Desa%20Wisata%20Tlatar%20Kandangan,,,,,,,,,,,,
69180,Sleman,Desa Wisata Trumpon,4.5,Wisata Budaya dan Sejarah,92,-7.6246794,110.3601189,https://www.google.com/maps/search/Desa%20Wisata%20Trumpon,,,,,,,,,,,,
2880,Sleman,Desa Wisata Wanurejo,4.4,Wisata Budaya dan Sejarah,286,-7.6117993,110.2179225,https://www.google.com/maps/search/Desa%20Wisata%20Wanurejo,,,,,,,,,,,,
1b5f0,Sleman,Desawisata Kadisobo II,4.4,Wisata Buatan,212,-7.668058,110.3610808,https://www.google.com/maps/search/Desawisata%20Kadisobo%20II,,,,,,,,,,,,
